src/HartsyInference.Audio/Models/Codecs/Vocos/VocosDecoder.cs(22,23): warning CA1823: Unused field 'InputChannels' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Audio/Models/CosyVoice/CamPlusSpeakerEncoder.cs(23,23): warning CA1823: Unused field 'FcmCh' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Audio/Models/CosyVoice/CamPlusSpeakerEncoder.cs(24,23): warning CA1823: Unused field 'Growth' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Audio/Models/CosyVoice/CamPlusSpeakerEncoder.cs(25,23): warning CA1823: Unused field 'BnCh' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Audio/Models/CosyVoice/S3Tokenizer.cs(21,23): warning CA1823: Unused field 'NHead' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Audio/Models/CosyVoice/S3Tokenizer.cs(24,23): warning CA1823: Unused field 'FsmnKernel' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Audio/Models/CosyVoice/UpsampleConformerEncoder.cs(21,25): warning CA1823: Unused field 'BlockNormEps' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Audio/Models/Demucs/DemucsDConv.cs(15,26): warning IDE0052: Private member 'DemucsDConv._channels' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Audio/Models/Demucs/DemucsDConv.cs(16,27): warning IDE0052: Private member 'DemucsDConv._norm' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Audio/Models/HeartMula/HeartCodecScalarModel.cs(20,23): warning CA1823: Unused field 'LatentDim' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Audio/Models/Music/YueStage2Lm.cs(29,23): warning CA1823: Unused field 'Cb0Lo' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
